ppdD ECK0107 JW0104 ,F,N/A,117109,117549,R
nadC ECK0108 JW0105 ,F,N/A,117752,118645,R
ampD ECK010 JW0106 ,T,N/A,118733,119284,F
ampE ECK0110 JW0107 ,T,N/A,119281,120135,F
aroP ECK0111 JW0108 ,F,N/A,120178,121551,R
pdhR aceC ECK0112 genA JW010 yacB ,T,Repressor,122092,122856,F
aceE ECK0113 JW0110 ,F,N/A,123017,125680,F
aceF ECK0114 JW0111 ,F,N/A,125695,127587,F
lpd dhl ECK0115 JW0112 lpdA ,F,N/A,127912,129336,F
yacH ECK0116 JW0113 ,F,N/A,129407,131260,R
acnB ECK0117 JW0114 yacI yacJ ,F,N/A,131615,134212,F
yacL ECK0118 JW0115 ,F,N/A,134388,134750,F
speD ECK011 JW0116 ,F,N/A,134788,135582,R
speE ECK0120 JW0117 ,F,N/A,135598,136464,R
yacC ECK0121 gspS JW0118 ,F,N/A,136570,136917,R
cueO cuiD ECK0122 JW011 yacK ,F,N/A,137083,138633,F
gcd ECK0123 JW0120 ,F,N/A,138835,141225,R
hpt ECK0124 JW500 ,F,N/A,141431,141967,F
can ECK0125 JW0122 yadF ,F,N/A,142008,142670,R
yadG ECK0126 JW0123 ,F,N/A,142779,143705,F
yadH ECK0127 JW0124 ,F,N/A,143702,144472,F
yadI agaX ECK0128 JW0125 ,F,N/A,144577,145017,F
yadE ECK012 JW0126 ,F,N/A,145081,146310,F
panD ECK0130 JW0127 ,F,N/A,146314,146694,R
yadD ECK0131 JW5010 ,F,N/A,146968,147870,F
panC ECK0132 JW012 ,F,N/A,147944,148795,R
panB ECK0133 JW0130 panA ,F,N/A,148807,149601,R
yadC ECK0134 JW0131 ,F,N/A,149715,150953,R
yadK ECK0135 JW0132 ,F,N/A,151003,151599,R
yadL ECK0136 JW0133 ,F,N/A,151626,152231,R
yadM ECK0137 JW0134 ,F,N/A,152243,152812,R
htrE ECK0138 JW0135 ,F,N/A,152829,155426,R
yadV ECK013 ecpD JW0136 ,F,N/A,155461,156201,R
yadN ECK0140 JW0137 ,F,N/A,156299,156883,R
folK ECK0141 JW0138 ,F,N/A,157253,157732,R
pcnB ECK0142 JW5808 ,T,N/A,157729,159126,R
gluQ ECK0143 JW582 yadB ,F,N/A,159186,160112,R
dksA ECK0144 JW0141 msmA ,T,N/A,160149,160604,R
sfsA ECK0145 JW0142 sfs sfs1 ,T,N/A,160782,161486,R
ligT ECK0146 JW5011 yadP ,F,N/A,161501,162031,R
hrpB ECK0147 JW0144 yadO ,F,N/A,162105,164534,F
mrcB ECK0148 JW0145 pbpF ponB ,F,N/A,164730,167264,F
fhuA ECK014 JW0146 T1 tonA ,F,N/A,167484,169727,F
fhuC ECK0150 JW0147 ,F,N/A,169778,170575,F
fhuD ECK0151 JW0148 ,F,N/A,170575,171465,F
fhuB ECK0152 JW014 ,F,N/A,171462,173444,F
hemL ECK0153 gsa JW0150 popC ,F,N/A,173602,174882,R
clcA ECK0154 eriC JW5012 yadQ ,F,N/A,175107,176528,F
erpA ECK0155 JW0152 yadR ,F,N/A,176610,176954,F
yadS ECK0156 JW0153 ,F,N/A,177001,177624,R
btuF ECK0157 JW0154 yadT ,F,N/A,177662,178462,R
mtn ECK0158 JW0155 mtnN pfs yadA ,F,N/A,178455,179153,R
dgt ECK015 JW0156 optA ,F,N/A,179237,180754,F
degP ECK0160 htrA JW0157 ptd ,F,N/A,180884,182308,F
cdaR ECK0161 JW5013 sdaR yaeG ,T,N/A,182463,183620,F
yaeH ECK0162 JW015 ,F,N/A,183709,184095,R
yaeI ECK0163 JW5014 ,F,N/A,184257,185069,R
dapD ECK0164 JW0161 ssa ,F,N/A,185123,185947,R
glnD ECK0165 JW0162 ,T,N/A,185978,188650,R
map ECK0166 JW0163 pepM ,F,N/A,188712,189506,R
tff ECK0167 JWR0225 t44 ,F,N/A,189712,189847,F
rpsB ECK0168 JW0164 ,F,N/A,189874,190599,F
tsf ECK016 JW0165 ,F,N/A,190857,191708,F
pyrH ECK0170 JW0166 smbA umk ,F,N/A,191855,192580,F
frr ECK0171 JW0167 rrf ,F,N/A,192872,193429,F
dxr ECK0172 ispC JW0168 yaeM ,F,N/A,193521,194717,F
ispU ECK0173 JW016 rth uppS yaeS ,F,N/A,194903,195664,F
cdsA ECK0174 JW5810 ,F,N/A,195677,196534,F
rseP ecfE ECK0175 JW0171 yaeL ,T,Activator,196546,197898,F
bamA ecfK ECK0176 JW0172 omp85 yaeT yzzN,F,N/A,197928,200360,F
skp ECK0177 hlpA JW0173 ompH ,F,N/A,200482,200967,F
lpxD ECK0178 firA JW0174 omsA ssc ,F,N/A,200971,201996,F
fabZ ECK017 JW0175 sabA sefA sfhC yaeA ,F,N/A,202101,202556,F
lpxA ECK0180 JW0176 ,F,N/A,202560,203348,F
lpxB ECK0181 JW0177 pgsB ,F,N/A,203348,204496,F
rnhB ECK0182 JW0178 ,F,N/A,204493,205089,F
dnaE ECK0183 JW017 polC sdgC ,F,N/A,205126,208608,F
accA ECK0184 JW0180 ,F,N/A,208621,209580,F
ldcC ECK0185 JW0181 ldc LDC2 ldcH ,F,N/A,209679,211820,F
yaeR ECK0186 JW0182 ,F,N/A,211877,212266,F
tilS ECK0187 JW0183 mesJ yaeN ,F,N/A,212331,213629,F
rof ECK0188 JW0184 mesJ yaeO ,T,N/A,213678,213932,R
yaeP ECK018 JW0185 ,F,N/A,213925,214125,R
yaeQ ECK010 JW0186 ,F,N/A,214291,214836,F
arfB ECK011 JW0187 yaeJ ,F,N/A,214833,215255,F
nlpE cutF ECK012 JW0188 ,F,N/A,215269,215979,F
yaeF ECK013 JW5016 yaeK ,F,N/A,216179,217003,R
proS drpA ECK014 JW010 ,F,N/A,217057,218775,R
tsaA ECK015 JW011 yaeB ,F,N/A,218887,219594,R
rcsF ECK016 JW012 ,T,N/A,219591,219995,R
metQ ECK017 JW013 metD yaeC ,F,N/A,220113,220928,R
metI ECK018 JW014 metD yaeE ,F,N/A,220968,221621,R
metN abc ECK01 JW015 metD ,F,N/A,221614,222645,R
gmhB ECK0200 gmbC gmbX gmhX JW016 wcbN,F,N/A,222833,223408,F
rrsH ECK0201 JWR0001 ,F,N/A,223771,225312,F
ileV ECK0202 JWR0002 ,F,N/A,225381,225457,F
alaV ECK0203 JWR0003 ,F,N/A,225500,225575,F
rrlH ECK0204 JWR0004 ,F,N/A,225759,228662,F
rrfH ECK0205 JWR0005 ,F,N/A,228756,228875,F
aspU ECK0206 JWR0006 ,F,N/A,228928,229004,F
dkgB ECK0207 JW017 yafB ,F,N/A,229167,229970,F
yafC ECK0208 JW018 ,T,Both,229967,230881,R
yafD ECK020 JW5017 ,F,N/A,231122,231922,F
yafE ECK0210 JW0200 ,F,N/A,231926,232549,F
mltD dniR ECK0211 JW5018 yafG ,T,Activator,232597,233955,R
gloB ECK0212 JW0202 yafR ,F,N/A,234027,234782,R
yafS ECK0213 JW0203 ,F,N/A,234816,235538,F
rnhA cer dasF ECK0214 herA JW0204 rnh,F,N/A,235535,236002,R
dnaQ ECK0215 JW0205 mutD ,F,N/A,236067,236798,F
aspV ECK0216 JWR0007 ,F,N/A,236931,237007,F
yafT ECK0217 JW0206 ,F,N/A,237335,238120,F
ykfM ECK437 ,F,N/A,238257,238736,R
yafU ECK0218 JW0207 ,F,N/A,238746,239102,R
yafF ECK021 JW0208 ,F,N/A,239106,239378,F
yafV ECK0220 JW501 ,F,N/A,239419,240189,R
ivy ECK0221 JW0210 ykfE ,F,N/A,240343,240816,F
fadE ECK0222 fadF JW5020 yafH ,F,N/A,240859,243303,R
gmhA ECK0223 isn JW0212 lpcA tfrA yafI ,F,N/A,243543,244121,F
yafJ ECK0224 JW0213 ,F,N/A,244327,245094,F
