spy,BaeR CpxR 
molR_1,RcsB LexA 
lpxC ftsZ ftsA ftsQ ddlB murC murG ftsW murD mraY murF murE ftsI ftsL rsmH mraZ,MraZ PdhR 
mpl,Cra 
aceB aceA aceK,Arc 
alkA,Ada 
araC,AraC 
argC argB argH,ArgR 
argF,ArgR 
argI,ArgR 
argR,ArgR 
tyrA aroF,TyrR 
aroG,TyrR CpxR 
aroH,Trp 
aroL yaiA aroM,TyrR Trp 
aroP,Cra TyrR 
bioA,BirA 
cirA,
cirA,
deoC deoA deoB deoD,DeoR 
deoC deoA deoB deoD,DeoR CytR 
dmsA dmsB dmsC,Fis NarL 
fhuA fhuC fhuD fhuB,
dusB fis,Fis 
fnr,Arc 
frdD frdC frdB frdA,NarL 
galS,GalS GalR 
galM galK galT galE,GalR HU 
galM galK galT galE,GalR GalS GalR GalS 
glnG glnL glnA,NtrC 
glnG glnL,NtrC 
glnG glnL glnA,NtrC 
glpA glpB glpC,Fis Arc GlpR FlhD 
glpD,Arc GlpR 
ilvY,IlvY IlvY 
katG,OxyR 
kdpF kdpC kdpB kdpA,KdpE 
lacA lacY lacZ,LacI 
lexA dinF,LexA 
malG malF malE,
malQ malP,MalT 
melR,MelR 
metA,MetJ 
metH,MetR 
umpH nagC nagA nagB,NagC 
narG narH narJ narI,Fis RstA NarL 
narK,Fis NarL 
nirB nirD nirC cysG,Cra Fis NarL NarP 
yfaE nrdA nrdB,ArgP 
ompC,YjjQ Lrp EnvY OmpR CpxR 
ompF,PhoB RstA CpxR OmpR 
oxyR,OxyR 
phoA psiF,PhoB 
phoB phoR,PhoB 
purB hflD,PurR 
purC,PurR 
purD purH,RbsR PurR PhoP 
purL,PurR 
purM purN,PurR 
purR,PurR 
pyrC,PurR 
pyrD,Fis PurR 
recA,LexA 
rhaS rhaR,RhaS RhaS RhaR 
sodA,Arc SoxS 
ssb,LexA Arc 
sulA,RcdA LexA 
trpA trpB trpC trpD trpE trpL,Trp 
tyrR,TyrR 
uvrA,LexA Arc 
uvrB,LexA 
uvrD,LexA 
alkB ada,Ada 
ahpC ahpF,MetJ OxyR 
ansB,
araE,
cysB,PhoP CysB 
cysH cysI cysJ,CysB 
cysK,CysB 
fadL,FadR Arc PhoP 
ilvI ilvH,
purK purE,PurR 
rpoH,CytR 
rpoH,CytR 
tnaC tnaA tnaB,
phoE,PhoB 
tyrB,TyrR 
tyrP,TyrR TyrR TyrR 
glnB,PurR 
ilvC,IlvY IlvY 
malT,Mlc 
fabA,FabR FadR 
mtr,Trp TyrR 
purA,MarA PurR GadE 
aidB,Ada 
dctR slp,YdeO GadW GadX MarA 
appX appC appB appA,YdeO AppY Arc 
araH araG araF,
araJ,
cydA cydB,HypT Arc 
cyoE cyoD cyoC cyoB cyoA,YedW Cra PdhR 
sucA sucB sucC sucD,
fumA,Arc 
fumC,Arc SoxS MarA SoxR 
gltA,Arc 
icd,Arc 
mdh,Arc FlhD 
carA carB,ArgR 
carA carB,Fis RutR PurR ami I 
argD,PhoP ArgR 
asnA,AsnC 
asnC,AsnC Nac 
atoB atoD atoA atoE,
betA betB betI,Cra BetI Arc 
betT,Cra BetI Arc 
bioB bioF bioC bioD,BirA 
cadC,LeuO CadC 
crp,Cra Fis 
fur,
malK lamB malM,MalT 
tdcG tdcF tdcE tdcD tdcC tdcB tdcA,TdcR TdcA 
ebgA ebgC,EbgR 
fucP fucI fucK fucU fucR,FucR 
nupG,CytR DeoR 
uhpT,UvrY 
melA melB,MelR MelR 
malX malY,MalI 
srlA srlE srlB srlD gutM srlR gutQ,GutM 
udp,CytR 
fucO fucA,FucR 
flhC flhD,YjjQ FliZ MatA OmpR LrhA HdfR RcsA 
malS,PhoP 
aldB,Fis 
hns,Fis GadX 
gyrA,Fis CspA 
pck,
cynT cynS cynX,CynR 
cynR,CynR 
cysM cysA cysW cysU cysP,
cysC cysN cysD,CysB 
nupC,CytR 
dsdX dsdA,DsdC 
dsdC,NsrR DsdC 
exuT,ExuR 
fecE fecD fecC fecB fecA,HypT 
fdhF,NarL FhlA 
hycI hycH hycG hycF hycE hycD hycC hycB hycA,NsrR 
hypA hypB hypC hypD hypE,NsrR 
narL narX,
fdnG fdnH fdnI,NarP 
ndh,NsrR PdhR Arc Fis 
fumB,Fis 
aspA,NarL 
fruA fruK fruB,Cra 
ppsA,Cra 
entD fepA,
fepB,RutR 
fepC fepG fepD,
entC entE entB entA entH,
tonB,
mglC mglA mglB,GalS FlhD GalR 
gatD gatC gatB gatA gatZ gatY,GatR Arc 
gcvP gcvH gcvT,Lrp GcvA 
gcvA,GcvA 
glnQ glnP glnH,
glpX glpK glpF,GlpR 
dps,OxyR 
leuD leuC leuB leuA leuL,LeuO 
umuD umuC,LexA 
lrp,Lrp Lrp GadE 
gltB gltD gltF,AdiY HdfR Lrp Nac ArgR Lrp GadE 
livJ,Lrp 
livF livG livM livH livK,Lrp 
lysA,ArgP LysR 
lysR,LysR 
malI,
fpr,SoxS MarA 
nfo,SoxS 
marR marA marB,CpxR AcrR Cra MarR MarA SoxS Fis 
metC,MetJ 
glyA,PurR MetR 
mtlA mtlD mtlR,MtlR Cra Fis 
nadB,Nad 
pncB,Nad 
manX manY manZ,Cra Mlc NagC 
codB codA,PurR Nac 
adhE,Lrp Cra NarL Fis 
nrfA nrfB nrfC nrfD nrfE nrfF nrfG,NsrR NsrR Fis NarL NarP 
nhaR nhaA,
phnP phnO phnN phnM phnL phnK phnJ phnI phnH phnG phnF phnE_2 phnE_1 phnD phnC,PhoB 
phoU pstB pstA pstC pstS,PhoB 
prs,PurR 
speB speA,PurR 
guaA guaB,Fis PurR DnaA 
rbsR rbsD rbsA rbsC rbsB rbsK,RbsR 
wcaB wcaA wzc wzb wza,RcsA 
rhaT,RhaS Arc 
zwf,SoxS 
ftsQ ftsA ftsZ,SdiA 
soxS,AcrR SoxR 
torC torA torD,NarL TorR 
treC treB,TreR 
araD araA araB,AraC 
fadA fadB,Fis FadR Arc 
glpQ glpT,Fis 
metF,MetJ 
rhaD rhaA rhaB,RhaS 
trpR,Trp 
lysU,Lrp 
oppA oppB oppC oppD oppF,Lrp Arc 
sdaA,Lrp 
serA,Nac Lrp 
tdh kbl,Lrp 
argE,ArgR 
eda edd,KdgR GntR Cra 
gntU gntK,GntR IdnR 
gntT,GntR 
accB accC,bio 
accD,FadR 
acrA acrB,MprA EnvR AcrR PhoP MarA SoxS 
acrE acrF,
adiA,
arsR arsB arsC,ArsR 
artM artQ artI artP,ArgR 
ascF ascB,
caiE caiD caiC caiB caiA caiT,CaiF Arc 
chbG chbF chbR chbA chbC chbB,ChbR NagC 
creA creB creC creD,NagC 
cydC cydD,NarL 
dadA dadX,
recF dnaN dnaA,DnaA ArgP 
dppF dppD dppC dppB dppA,
exbD exbB,
fabH fabD fabG,FadR 
feoC feoA feoB,NagC 
ybdZ fes entF fepE,
flgN flgM flgA,FlhD 
flgB flgC flgD flgE flgF flgG flgH flgI flgJ,FlhD 
fliD fliS fliT,FlhD 
fliL fliM fliN fliO fliP fliQ fliR,FlhD 
glmS glmU,NagC 
yhiD hdeB hdeA,FliZ PhoP GadE GadW Lrp GadX TorR 
hipA hipB,HipB HipA ant 
hyaA hyaB hyaC hyaD hyaE hyaF,YdeO Fis NarL NarP IscR Arc AppY 
hybO hybG hybF hybE hybD hybC hybB hybA,Arc NarL 
moaA moaB moaC moaD moaE,
modA modB modC,
moeB moeA,NarL 
cheW cheA motB motA,CpxR 
ccmH ccmG ccmF ccmE ccmD ccmC ccmB ccmA napC napB napH napG napA napD napF,NarL FlhD 
nikR nikA nikB nikC nikD nikE,NikR NarL 
nuoN nuoM nuoL nuoK nuoJ nuoI nuoH nuoG nuoF nuoE nuoC nuoB nuoA,
phoQ phoP,PhoP 
potF potG potH potI,NtrC 
pspA pspB pspC pspD pspE,
rpsI rplM,
rpmA rplU,MlrA 
rpsQ rpmC rplP rpsC rplV rpsS rplB rplW rplD rplC rpsJ,Arc 
ruvB ruvA,LexA 
serC aroA,
tehA tehB,NsrR NsrR 
infC thrS,NsrR 
ttdT ttdA ttdB,Dan 
ubiC ubiA,NarL Arc 
dcd udk,RbsR 
xylF xylG xylH xylR,Fis XylR 
dsdA,DsdC 
pflB focA,NarL 
pflB focA,Arc 
pflB focA,NarL 
pflB,Fis 
ackA,Arc 
bolA,
osmB,
csgC csgB csgA,FliZ CpxR CsgD 
csgG csgF csgE csgD,RcdA BasR FliZ Cra MlrA CpxR RcsA OmpR CsgD 
stpA,
osmE,
htpG,AscG 
mngR,MngR 
fimB,BasR NagC 
tcyJ fliZ fliA,MatA NsrR 
icd,Cra 
rpoH,CpxR 
rpoH,CytR 
lrhA,LrhA 
trmA,Fis 
uspA,
rpsU dnaG rpoD,LexA 
rpoS,MqsA Arc 
pgk epd,Cra 
nuoN nuoM nuoL nuoK nuoJ nuoI nuoH nuoG nuoF nuoE nuoC nuoB nuoA,Fis 
tsx,DeoR 
tsx,CytR 
soxR,AcrR 
mprA emrA emrB,MprA 
fecR fecI,
ppiA,CpxR 
ppiA,CytR 
ppiA,CytR 
ppiA,CytR 
cadA cadB,Lrp Arc GadX GadE 
fumB dcuB,NarL 
tcyJ fliZ fliA,NsrR 
glnB,PurR 
ubiX purF cvpA,PurR 
ompC,Lrp 
ompC,
ptsH ptsI crr,NagC Mlc 
ptsH ptsI crr,NagC 
ptsH ptsI crr,NagC 
ptsH ptsI crr,
ptsH ptsI crr,Cra 
rcsA,RcsA 
glmS glmU,NagC 
aspV,Fis 
thrW,Fis 
argU,Fis 
lysT valT lysW,Fis 
proL,Fis 
valU valX valY lysV,Fis Fis 
argW,Fis 
pheV,Fis 
argX hisR leuT proM,Fis 
tufB thrU tyrU glyT thrT,Fis 
leuX,Fis 
glnX glnV metU glnW glnU leuW metT,Fis 
serT,Fis 
serX,Fis 
tpr tyrV tyrT,Fis 
alaX alaW,Fis 
glyU,Fis 
infB nusA rimP metY,Fis 
proK,Fis 
pheU,Fis 
leuV leuP leuQ,Fis 
pdhR aceE aceF lpd,Cra PdhR 
lpd,Arc Fis 
sdhC sdhD sdhA sdhB sucA sucB sucC sucD,Arc 
