Genes of transcription unit,Transcription Factors
waaZ // waaY,MarA  // SoxS 
mdh,DpiA-P<sup>asp</sup> 
exuT,DpiA-P<sup>asp</sup> 
citG // citX // citF // citE // citD // citC,FNR  // CRP-cAMP  // NarL  // DpiA-P<sup>asp</sup> 
dpiA // dpiB,DcuR  // NarL 
azuC,CRP-cAMP 
ykgR,CRP-cAMP 
flhC // flhD,MatA 
acrD,BaeR  // CpxR
fnrS,FNR 
mgrR,PhoP 
fabB,FabR  // FadR 
flgN // flgM,CsgD 
aer,CRP-cAMP  // FNR 
cheZ // cheY // cheB // cheR // tap // tar,FNR 
ycgR,FlhDC 
pdeH,FlhDC 
yhcH // nanK // nanE // nanT // nanA,Fis  // NanR  // CRP-cAMP 
dcuC,FNR  // ArcA 
ribA,SoxS 
osmC,Lrp  // H-NS  // NhaR-Na<SUP>+</SUP>  // RcsB-P<SUP>asp56</SUP>
osmC,H-NS  // Lrp 
ychF,OxyR 
metK,MetJ-S-adenosylmethionine  // CRP-cAMP 
pspF,PspF 
cusA // cusB // cusF // cusC,YedW  // PhoB  // CusR-P<SUP>asp</SUP>
iscA // iscU // iscS // iscR,IscR-2Fe-2S
dcuD,PhoP 
gabP // gabT // gabD,Nac 
glcA // glcB // glcG // glcF // glcE // glcD,PdhR  // ArcA  // GlcC-Glycolate  // IHF 
glcC,Cra  // Fis  // GlcC-Glycolate  // CRP-cAMP 
osmY,FliZ   // Fis  // IHF  // Lrp  // CRP-cAMP 
recN,LexA 
gcd,CRP-cAMP  // IHF 
ybjN // rimK // nfsA // ybjC,Rob  // MarA  // OxyR  // SoxS 
gadX,PhoB  // GadX  // RutR  // GadW  // H-NS  // FNR  // GadE 
metQ // metI // metN,HypT-[Met-oxidized]  // MetJ-S-adenosylmethionine 
serA,Lrp-Leucine  // CRP-cAMP 
mhpF // mhpE // mhpD // mhpC // mhpB // mhpA,MhpR-3HPP  // CRP-cAMP 
mgtL // mgtA,PhoP 
mgrB,PhoP 
topA,Fis 
topA,Fis 
fiu,Fur-Fe<sup>2+</sup>  // CRP-cAMP 
exbD,Fur-Fe<sup>2+</sup> 
fhuE,Fur-Fe<sup>2+</sup> 
gyrB,Fis 
isrC // flu,OxyR 
metJ,Fur-Fe<sup>2+</sup> 
hemF // amiA,IHF 
hemF,IHF 
cpxA // cpxR,CpxR
emrY // emrK,EvgA  // FNR 
trxA,CRP-cAMP 
ybaT // ybaS,GadX 
cueO,CueR-Cu<sup>+</sup> 
chiA,H-NS 
xdhB // xdhC // xdhA,FNR 
cydB // cydA,H-NS  // FNR  // ArcA 
cydB // cydA,H-NS  // FNR  // ArcA 
cydB // cydA,Cra 
gpmA,Fur-Fe<sup>2+</sup> 
ryhB,Fur-Fe<sup>2+</sup> 
ygaC,Fur-Fe<sup>2+</sup> 
bamE,NsrR-nitric oxide // CpxR
mscM // psd,CpxR
bacA,CpxR
yaiW // sbmA,CpxR
prpE // prpD // prpC // prpB,Cra  // CRP-cAMP  // PrpR-2-methylcitrate 
yeaH // yeaG,NtrC 
yhdZ // yhdY // yhdX // yhdW,NtrC 
ddpF // ddpD // ddpC // ddpB // ddpA // ddpX,NtrC 
glnD,FNR // Fur-Fe<sup>2+</sup> 
yciG,McbR  // H-NS 
glgP // glgA,PhoP 
ssrS,Fis  //  Lrp  // H-NS 
ssrS,Fis  //  Lrp  // H-NS 
iraM,PhoP 
lacI // mhpR,CRP-cAMP 
dgkA,BasR 
rutA // rutB // rutC // rutD // rutE // rutF // rutG,RutR  // NtrC  // PhoP  // ArcA 
actP // yjcH // acs,Fis  // IHF 
proP,Fis  // CRP-cAMP 
sra,OmpR  // Fis  // IHF 
ftsQ,SdiA 
csiE,CRP-cAMP  // H-NS 
gabP // gabT // gabD // lhgO // csiD,CsiR  // CRP-cAMP  // Lrp-Leucine  // H-NS 
pdeR,FliZ   // RutR 
dsbC,CpxR
ydeM // ydeN,AraC-Arabinose  // NagC 
ydeI,RcdA  
sroD // fadD,FadR  // ArcA  // CRP-cAMP 
prmC // prfA // hemA,FNR  // ArcA  // IHF 
rybA // mntS,MntR-Mn<sup>2+</sup> 
cbrA,CreB  
recG,CreB  
fumC,Rob 
rmf,CRP-cAMP 
yjiY,CRP-cAMP  // YehT 
yhjX,YpdB
waaH,BasR 
fumC // fumA,ArcA  // FNR  // CRP-cAMP 
bluF,RcdA  
trpL,TrpR-Tryptophan 
gntK,GntR  // IdnR-5-ketogluconate  // CRP-cAMP 
ivbL,CRP-cAMP 
tnaC,CRP-cAMP  // TorR 
bglG, RcsB-BglJ  // LeuO  // Fis  // H-NS  // CRP-cAMP 
ilvL,IHF 
ilvL,Lrp  // Lrp-Leucine  // IHF 
cbpM // cbpA,Fis 
cbpM // cbpA,Fis 
gloA // nemA // nemR,RutR  // NemR 
patD // ydcV // ydcU // ydcT // ydcS,Nac 
ompN // ydbK,SoxS 
nanA,Fis  // NanR  // CRP-cAMP 
nanS // nanM // nanC,NanR  // NagC  // CRP-cAMP 
bglG,RcsB-BglJ  // CRP-cAMP 
ygeA // araE,CRP-cAMP  // AraC-Arabinose 
galE,GalR  // HU  // H-NS  // GalS  // CRP-cAMP 
galE,CRP-cAMP  // HU  // GalR  // GalS  // GalR-galactose // GalS-galactose
galT // galE,GalR  // HU  // H-NS  // GalS  // CRP-cAMP 
galT // galE,CRP-cAMP  // HU  // GalR  // GalS  // GalR-galactose // GalS-galactose
galK // galT // galE,GalR  // HU  // H-NS  // GalS  // CRP-cAMP 
ariR,CysB-O-acetyl-L-serine 
accA,FadR 
accC // accB,FadR 
fabI,FadR 
iclR,IclR-pyruvate  // FadR 
nagE,NagC  // CRP-cAMP 
norW // norV,FNR  // NarL  // NarP  // NorR  // IHF 
gudD // gudX // gudP,CdaR 
mngB // mngA,MngR 
rpiB,AlsR 
cdaR,CdaR 
alsE // alsC // alsA // alsB // rpiR,AlsR 
alsE // alsC // alsA // alsB // rpiR,AlsR 
recX // recA,LexA 
zntA,ZntR-Zn<sup>2+</sup> 
nfsB,Rob  // SoxS  // MarA 
znuA,Zur-Zn<sup>2+</sup> 
idnK,GntR  // IdnR  // CRP-cAMP 
idnR // idnT // idnO // idnD,GntR  // IdnR-5-ketogluconate  // CRP-cAMP 
lacA // lacY // lacZ,CRP-cAMP 
lacA // lacY // lacZ,CRP-cAMP 
gadE,ArcA  // PhoP  // GadE 
hdeD,RcsB-P<SUP>asp56</SUP> // PhoP  // H-NS  // GadE  // GadX 
yeaD // gapA,Cra 
gapA,Cra 
gapA,Cra  // CRP-cAMP 
gapA,Cra 
gntT,GntR  // CRP-cAMP 
lon,GadX 
gntP,OxyR  // UxuR  // CRP-cAMP 
nfuA // gntX,GntR  // CRP-cAMP 
ibpB,IHF 
uxaA // uxaC,ExuR  // CRP-cAMP  // FNR 
uxuR,UxuR  // ExuR  // CRP-cAMP 
exuR,ExuR 
