bglG,RcsB LeuO Fis 
ilvL,Lrp Lrp 
mpaA ymjCymjDycjY,PgrR 
leuE,Lrp 
cbpM cbpA,Fis 
cbpM cbpA,Fis 
gloA nemAnemR,RutR NemR 
patD ydcVydcUydcTydcS,Nac 
ompN ydbK,SoxS 
nanA,Fis NanR 
nanS nanMnanC,NanR NagC 
feaR,PhoB NsrR Nac 
tynA,FeaR 
bglG,RcsB 
ygeA araE,AraC 
galE,GalR HU GalS 
galE,HU GalR GalS GalR GalS 
galT galE,GalR HU GalS 
galT galE,HU GalR GalS GalR GalS 
galK galTgalE,GalR HU GalS 
galK galTgalE,HU GalR GalS GalR GalS 
relA,NtrC 
ariR,CysB 
accA,FadR 
accC accB,FadR 
fabI,FadR 
iclR,IclR FadR 
nagE,NagC 
norW norV,NarL NarP NorR 
pgm seqA,HU 
garD,CdaR 
gudD gudXgudP,CdaR 
mngB mngA,MngR 
rpiB,AlsR 
cdaR,CdaR 
alsE alsCalsAalsBrpiR,AlsR 
alsE alsCalsAalsBrpiR,AlsR 
recX recA,LexA 
fumB dcuB,DcuR 
nfsB,SoxS MarA 
idnK,GntR IdnR 
idnR idnTidnOidnD,GntR IdnR 
bglB bglFbglG,RcsB LeuO Fis 
gadE,PhoP GadE 
hdeD,PhoP GadE GadX 
yeaD gapA,Cra 
gapA,Cra 
gapA,Cra 
gapA,Cra 
gntT,GntR 
gntT,GntR 
asnB,GadX 
lon,GadX 
gntP,OxyR UxuR 
nfuA gntX,GntR 
uxaA uxaC,ExuR 
uxuR,UxuR ExuR 
exuR,ExuR 
uidC uidBuidA,UidR UxuR 
uidR,UidR 
gnd,GadE 
ulaF ulaEulaDulaCulaB ulaA,UlaR 
ulaG,UlaR 
apaH apaGrsmApdxA,Fis 
rsmA pdxA,Fis 
fadJ fadI,FadR 
malZ,MalT 
dmsD ynfHynfGynfFynfE,NarL 
argG,ArgR 
mdtF mdtEgadE,FliZ GadX GadW GadE EvgA YdeO 
pspG,PspF 
gadY,GadW GadX 
glnA,NtrC 
glnA,Fis NtrC 
cytR,CytR 
serC,Lrp 
ugpQ ugpCugpEugpAugpB,PhoB 
ugpQ ugpCugpEugpAugpB,PhoB 
yidQ,CpxR 
dcuA aspA,NarL 
gcvB,GcvA 
pnp rpsOtruBrbfAinfB nusArimPmetY,Fis 
tisB,LexA 
murI btuB,GadX 
dinG,LexA 
folA,TyrR 
dapB,ArgP 
lysP,Lrp ArgP 
gltX,Fis 
amn,PhoB 
alaS,AlaS 
dapD,ArgP 
pgi,SoxS 
cspD,MqsA 
katE,Fis 
ppc,Cra 
ung,CpxR 
lysC,ArgP 
uvrC,LexA 
ansB,Fis 
agaA agaWagaVkbaZ,AgaR 
agaR,AgaR 
agaI agaDagaCagaBkbaY agaS,AgaR 
ppiD,CpxR 
ssuB ssuCssuDssuAssuE,CysB Cbl 
aceF aceE,NsrR 
ruvB ruvA,LexA 
ptrA,LexA 
uvrC uvrY,LexA 
nanM nanC,NanR NagC 
ilvH ilvI,Lrp 
cspI,BasR Fis 
tsr,CpxR 
hcr hcp,OxyR NsrR NarL NarP 
galP,NagC GalS GalR GalR GalS 
hcaR,HcaR 
hcaD hcaBhcaChcaFhcaE,HcaR 
prpR,PhoB AscG PrpR 
mntH,OxyR 
tktB,PhoB 
glk,Cra 
evgS evgA,EvgA 
evgS evgA,EvgA 
polB,LexA 
allA,AllR 
allS,AllR 
glxK ybbYallBybbWglxR hyigcl,AllR 
allE allCallD,AllS 
fhuF,OxyR 
ydeP,UvrY NarP NarL NagC PhoP EvgA 
yegZ yegR,EvgA 
frc,EvgA 
yfdE yfdVoxcfrc yfdX,EvgA 
yrbL,BasR PhoP 
borD,PhoP 
rstB rstA,PhoP 
slyB,PhoP 
slyB,PhoP 
rob,SoxS MarA 
nagA,PhoP 
hemL,PdhR PhoP 
pagP,PhoP 
ybjG,PhoP 
ompT,PhoP 
tam lsrGlsrFlsrBlsrD lsrClsrA,LsrR 
baeR baeSmdtDmdtCmdtB mdtA,BaeR CpxR 
mglC mglA,Fis 
dhaR,DhaR 
dhaM dhaLdhaK,DhaR 
glnQ,Fis 
acrD,EvgA 
fbaA pgkepd,Cra 
artJ,ArgR 
metE,MetJ MetR 
metR,MetJ MetR 
metR,MetJ MetR 
ydjM,LexA 
insK,LexA 
dinQ,LexA 
symE,LexA 
ybfE,LexA 
hokE,LexA 
cho,LexA 
acrR,AcrR 
yqjH,YqjI 
zinT,SoxS 
fliE,CsgD 
fhlA hypEhypDhypChypB hypA,NsrR FhlA 
dcuR dcuS,NarL 
fbaB,Cra 
pgaD pgaCpgaBpgaA,OmpR 
argA,ArgR 
dtpA,OmpR 
metY,ArgR 
erpA,IscR 
nfuA,IscR 
ydiU,IscR 
napC napBnapHnapGnapA napDnapF,IscR 
oxyS,OxyR 
ybiT,AscG 
yhiM,GadE 
yidL,RcsB 
lgoD,UxuR 
yncE,MarA 
yqjI,YqjI 
rcdA,RcdA 
ydbK,SoxS 
yegH,PhoB 
ttdR,Dan 
ygiZ,RcsB 
omrB,OmpR 
omrA,OmpR 
dacC,BolA 
dsrA,LeuO 
fadE,FadR 
feaB,FeaR NsrR 
grxD,NsrR 
galR,GalS GalR 
nlpA,CsgD 
aslB,GadE 
dgcC,CsgD 
pepD,CsgD 
molR_1,RcsB LexA 
lpxC ftsZftsAftsQddlB murCmurGftsWmurD mraYmurFmurEftsI ftsLrsmHmraZ,MraZ PdhR 
mpl,Cra 
aceB aceAaceK,IclR Cra 
alkA,Ada 
araC,AraC AraC 
argC argBargH,ArgR 
argF,ArgR 
argI,ArgR 
argR,ArgR 
tyrA aroF,TyrR 
aroG,TyrR CpxR 
aroL yaiAaroM,TyrR 
aroP,Cra TyrR 
bioA,BirA 
deoC deoAdeoBdeoD,DeoR 
deoC deoAdeoBdeoD,DeoR CytR Fis 
dmsA dmsBdmsC,Fis NarL 
dusB fis,Fis 
frdD frdCfrdBfrdA,NarL DcuR 
galS,GalS GalR 
galM galKgalTgalE,GalR HU GalS 
galM galKgalTgalE,HU GalR GalS GalR GalS 
glnG glnLglnA,NtrC 
glnG glnL,NtrC 
glnG glnLglnA,Fis NtrC 
glpA glpBglpC,Fis GlpR FlhD 
