Genes of transcription unit,Transcription Factors
gadE,ArcA   GadX   YdeO 
fadR,FadRacylCoA
yjeV,DnaAATP 
ogt,NarL   Fis
waaZ  waaY,MarA   SoxS 
mdh,DpiAPsupaspsup 
exuT,DpiAPsupaspsup 
citG  citX  citF  citE  citD  citC,FNR   CRPcAMP   NarL   DpiAPsupaspsup 
dpiA  dpiB,DcuR   NarL 
ahpF  ahpC,OxyR 
ymgC  ariR  ymgA  ycgZ,BluR 
azuC,CRPcAMP 
ykgR,CRPcAMP 
flhC  flhD,MatA 
acrD,BaeR   CpxR
fnrS,FNR 
mgrR,PhoP 
fabB,FabR   FadR 
flxA,Fis 
fliC,MatA   GadE   HNS 
flgN  flgM,CsgD 
aer,CRPcAMP   FNR 
cheZ  cheY  cheB  cheR  tap  tar,FNR 
ycgR,FlhDC 
pdeH,FlhDC 
yhcH  nanK  nanE  nanT  nanA,Fis   NanR   CRPcAMP 
dcuC,FNR   ArcA 
sodB,NsrRnitric oxide  IHF   CRPcAMP 
asr,RcdA    HNS   RstA    PhoB 
ribA,SoxS 
osmC,Lrp   HNS   NhaRNaSUPSUP   RcsBPSUPasp56SUP
osmC,HNS   Lrp 
ychF,OxyR 
metK,MetJSadenosylmethionine   CRPcAMP 
pspF,PspF 
cusA  cusB  cusF  cusC,YedW   PhoB   CusRPSUPaspSUP
cusS  cusR,YedW   PhoB   CusRPSUPaspSUP
inaA,Rob   MarA   SoxS 
iscA  iscU  iscS  iscR,IscR2Fe2S
dcuD,PhoP 
gabP  gabT  gabD,Nac 
glcA  glcB  glcG  glcF  glcE  glcD,PdhR   ArcA   GlcCGlycolate   IHF 
glcC,Cra   Fis   GlcCGlycolate   CRPcAMP 
osmY,FliZ    Fis   IHF   Lrp   CRPcAMP 
recN,LexA 
psiE,CRPcAMP   PhoB 
hpt,IHF   CRPcAMP 
gcd,CRPcAMP   IHF 
ybjN  rimK  nfsA  ybjC,Rob   MarA   OxyR   SoxS 
gadX,PhoB   GadX   RutR   GadW   HNS   FNR   GadE 
metQ  metI  metN,HypTMetoxidized   MetJSadenosylmethionine 
serA,LrpLeucine   CRPcAMP 
mhpF  mhpE  mhpD  mhpC  mhpB  mhpA,MhpR3HPP   CRPcAMP 
mgtL  mgtA,PhoP 
treR,PhoP 
treR,PhoP 
mgrB,PhoP 
topA,Fis 
topA,Fis 
fiu,FurFesup2sup   CRPcAMP 
exbD,FurFesup2sup 
fhuE,FurFesup2sup 
gyrB,Fis 
sufE  sufS  sufD  sufC  sufB  sufA,NsrRnitric oxide  FurFesup2sup   OxyR   IHF   IscR 
micF,AcrR   LrpLeucine   Lrp   HNS   IHF   MarA   SoxS   HU   Rob   OmpR 
isrC  flu,OxyR 
metJ,FurFesup2sup 
hemF  amiA,IHF 
hemF,IHF 
cpxA  cpxR,CpxR
emrY  emrK,EvgA   FNR 
trxA,CRPcAMP 
trxC,OxyR 
copA,CueRCusupsup 
ybaT  ybaS,GadX 
cueO,CueRCusupsup 
chiA,HNS 
xdhB  xdhC  xdhA,FNR 
cydB  cydA,HNS   FNR   ArcA 
cydB  cydA,HNS   FNR   ArcA 
cydB  cydA,Cra 
fldB,SoxS 
patA,NtrC   Fis   IHF 
gpmA,FurFesup2sup 
ryhB,FurFesup2sup 
ygaC,FurFesup2sup 
bamE,NsrRnitric oxide  CpxR
mscM  psd,CpxR
bacA,CpxR
yaiW  sbmA,CpxR
uspD  yiiS,YdeO 
hisP  hisM  hisQ  hisJ  argT,NtrC 
prpE  prpD  prpC  prpB,Cra   CRPcAMP   PrpR2methylcitrate 
yeaH  yeaG,NtrC 
yhdZ  yhdY  yhdX  yhdW,NtrC 
ddpF  ddpD  ddpC  ddpB  ddpA  ddpX,NtrC 
glnD,FNR  FurFesup2sup 
yciG,McbR   HNS 
glgP  glgA,PhoP 
phoU,PhoB 
uxaB,CRPcAMP   ExuR 
ssrS,Fis    Lrp   HNS 
ssrS,Fis    Lrp   HNS 
iraM,PhoP 
lacI  mhpR,CRPcAMP 
dgkA,BasR 
rutA  rutB  rutC  rutD  rutE  rutF  rutG,RutR   NtrC   PhoP   ArcA 
actP  yjcH  acs,Fis   IHF 
actP  yjcH  acs,Fis   CRPcAMP   IHF 
metL  metB,HypTMetoxidized   MetJSadenosylmethionine   PhoP 
proP,Fis   CRPcAMP 
sra,OmpR   Fis   IHF 
ftsQ,SdiA 
csiE,CRPcAMP   HNS 
gabP  gabT  gabD  lhgO  csiD,CsiR   CRPcAMP   LrpLeucine   HNS 
pdeR,FliZ    RutR 
dsbC,CpxR
lpxA  fabZ  lpxD  skp,CpxR  GadE 
phoQ,PhoB 
ydeM  ydeN,AraCArabinose   NagC 
ydeI,RcdA  
sroD  fadD,FadR   ArcA   CRPcAMP 
prmC  prfA  hemA,FNR   ArcA   IHF 
rybA  mntS,MntRMnsup2sup 
cbrA,CreB  
recG,CreB  
patZ,CRPcAMP 
leuO,LeuO    HNS   RcsBBglJ 
fumC,Rob 
rmf,CRPcAMP 
yjiY,CRPcAMP   YehT 
yhjX,YpdB
waaH,BasR 
fumC  fumA,ArcA   FNR   CRPcAMP 
bluF,RcdA  
leuL,LeuO 
sucB  sucA,IHF   ArcA   FNR 
trpL,TrpRTryptophan 
gntK,GntR   IdnR5ketogluconate   CRPcAMP 
ivbL,CRPcAMP 
tnaC,CRPcAMP   TorR 
bglG, RcsBBglJ   LeuO   Fis   HNS   CRPcAMP 
ilvL,IHF 
ilvL,Lrp   LrpLeucine   IHF 
mpaA  ymjC  ymjD  ycjY,PgrR 
leuE,LrpLeucine 
cbpM  cbpA,Fis 
cbpM  cbpA,Fis 
gloA  nemA  nemR,RutR   NemR 
patD  ydcV  ydcU  ydcT  ydcS,Nac 
ompN  ydbK,SoxS 
nanA,Fis   NanR   CRPcAMP 
nanS  nanM  nanC,NanR   NagC   CRPcAMP 
feaR,CRPcAMP   PhoB   NsrRnitric oxide  Nac 
tynA,FeaR 
bglG,RcsBBglJ   CRPcAMP 
ygeA  araE,CRPcAMP   AraCArabinose 
galE,GalR   HU   HNS   GalS   CRPcAMP 
galE,CRPcAMP   HU   GalR   GalS   GalRgalactose  GalSgalactose
galT  galE,GalR   HU   HNS   GalS   CRPcAMP 
galT  galE,CRPcAMP   HU   GalR   GalS   GalRgalactose  GalSgalactose
galK  galT  galE,GalR   HU   HNS   GalS   CRPcAMP 
galK  galT  galE,CRPcAMP   HU   GalR   GalS   GalRgalactose  GalSgalactose
relA,NtrC 
ariR,CysBOacetylLserine 
accA,FadR 
accC  accB,FadR 
fabI,FadR 
iclR,IclRpyruvate   FadR 
nagE,NagC   CRPcAMP 
norW  norV,FNR   NarL   NarP   NorR   IHF 
pgm  seqA,HU 
garD,CdaR 
gudD  gudX  gudP,CdaR 
mngB  mngA,MngR 
rpiB,AlsR 
cdaR,CdaR 
alsE  alsC  alsA  alsB  rpiR,AlsR 
alsE  alsC  alsA  alsB  rpiR,AlsR 
recX  recA,LexA 
fumB  dcuB,DcuR 
znuB  znuC,ZurZnsup2sup 
zntA,ZntRZnsup2sup 
nfsB,Rob   SoxS   MarA 
znuA,ZurZnsup2sup 
idnK,GntR   IdnR   CRPcAMP 
idnR  idnT  idnO  idnD,GntR   IdnR5ketogluconate   CRPcAMP 
lacA  lacY  lacZ,CRPcAMP 
lacA  lacY  lacZ,CRPcAMP 
nrdG  nrdD,HNS   NrdRZnsup2sup   FNR 
bglB  bglF  bglG, RcsBBglJ   LeuO   Fis   HNS   CRPcAMP 
gadE,ArcA   PhoP   GadE 
hdeD,RcsBPSUPasp56SUP  PhoP   HNS   GadE   GadX 
yeaD  gapA,Cra 
gapA,Cra 
gapA,Cra   CRPcAMP 
gapA,Cra 
gntT,GntR   CRPcAMP 
gntT,GntR   CRPcAMP 
asnB,GadX 
lon,GadX 
gntP,OxyR   UxuR   CRPcAMP 
nfuA  gntX,GntR   CRPcAMP 
ibpB,IHF 
uxaA  uxaC,ExuR   CRPcAMP   FNR 
uxuR,UxuR   ExuR   CRPcAMP 
exuR,ExuR 
uidC  uidB  uidA,UidR   UxuR   CRPcAMP 
uidR,UidR 
gnd,FNR  FurFesup2sup   GadE 
ulaF  ulaE  ulaD  ulaC  ulaB  ulaA,UlaR   IHF   CRPcAMP 
ulaG,UlaR   IHF 
apaH  apaG  rsmA  pdxA,Fis 
rsmA  pdxA,Fis 
fadJ  fadI,FadR   ArcA 
malZ,MalTMaltotrioseATP 
dmsD  ynfH  ynfG  ynfF  ynfE,NarL   FNR 
argG,ArgRLarginine   CRPcAMP 
mdtF  mdtE  gadE,FliZ    HNS   GadX   GadW   CRPcAMP   GadE   EvgA   YdeO 
pspG,PspF   IHF 
gadY,RcsBPSUPasp56SUP  GadW   GadX 
glnA,NtrC   CRPcAMP 
glnA,CRPcAMP   Fis   NtrC 
cytR,CRPcAMP   CytR 
serC,CRPcAMP   Lrp 
ugpQ  ugpC  ugpE  ugpA  ugpB,PhoB 
ugpQ  ugpC  ugpE  ugpA  ugpB,PhoB   CRPcAMP 
yidQ,CpxR
dcuA  aspA,NarL   FNR   CRPcAMP 
entS,FurFesup2sup 
gcvB,GcvA 
pnp  rpsO  truB  rbfA  infB  nusA  rimP  metY,Fis 
tisB,LexA 
murI  btuB,GadX 
dinG,LexA 
folA,IHF   TyrRTyrosine 
dapB,ArgP 
lysP,Lrp   ArgP 
gltX,Fis
amn,PhoB 
manA,CRPcAMP 
alaS,AlaSLalanine
dapD,ArgP 
pgi,SoxS 
aspC,FNR  FurFesup2sup 
cspD,CRPcAMP   MqsA antitoxin of the MqsRA toxinantitoxin system and   HNS 
cysE,SutR 
katE,FurFesup2sup   Fis 
ppc,Cra 
ung,CpxR
lysC,ArgP 
uvrC,LexA 
ssb,ArcA 
ssb,ArcA 
ansB,Fis 
agaA  agaW  agaV  kbaZ,AgaR   CRPcAMP 
agaR,AgaR 
agaI  agaD  agaC  agaB  kbaY  agaS,AgaR 
ppiD,CpxR
ssuB  ssuC  ssuD  ssuA  ssuE,CysBOacetylLserine   FNR   Cbl   IHF 
aceF  aceE,NsrRnitric oxide  FNR   ArcA 
rplT,FNR 
